Question,Answer
What is AI?,AI stands for Artificial Intelligence.
Who created Python?,Python was created by Guido van Rossum.
What is the capital of France?,The capital of France is Paris.
Tell me a joke.,Why did the scarecrow win an award? Because he was outstanding in his field!
What is the largest planet?,Jupiter is the largest planet.
Who is the CEO of Tesla?,Elon Musk is the CEO of Tesla.
What is the speed of light?,"The speed of light is approximately 299,792 kilometers per second."
What is the currency of Japan?,The currency of Japan is the Yen.
Who discovered gravity?,Isaac Newton discovered gravity.
What is the square root of 144?,The square root of 144 is 12.
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
What is the capital of Italy?,The capital of Italy is Rome.
What is the powerhouse of the cell?,The mitochondrion is the powerhouse of the cell.
Who was the first president of the USA?,George Washington was the first president of the USA.
What is the symbol for gold?,The symbol for gold is Au.
What is 2+2?,2+2 equals 4.
Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.
What is blockchain?,Blockchain is a decentralized digital ledger.
What is climate change?,Climate change refers to long-term changes in Earth's climate.
Who invented the telephone?,Alexander Graham Bell invented the telephone.
What is the capital of India?,The capital of India is New Delhi.
What is the smallest country in the world?,The smallest country in the world is Vatican City.
What is the chemical formula of water?,The chemical formula of water is H2O.
Who discovered penicillin?,Penicillin was discovered by Alexander Fleming.
What is the capital of China?,The capital of China is Beijing.
What is the main ingredient in bread?,Flour is the main ingredient in bread.
What is the largest ocean?,The largest ocean is the Pacific Ocean.
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².
Who wrote 'Harry Potter'?,'Harry Potter' was written by J.K. Rowling.
What is the capital of Brazil?,The capital of Brazil is Brasília.
What is Newton's third law?,"Newton's third law states that for every action, there is an equal and opposite reaction."
What is the currency of the USA?,The currency of the USA is the US Dollar.
Who invented the airplane?,The airplane was invented by the Wright brothers.
What is 10 factorial?,"10 factorial (10!) is 3,628,800."
What is the tallest mountain in the world?,Mount Everest is the tallest mountain in the world.
Who was Albert Einstein?,Albert Einstein was a famous physicist known for the theory of relativity.
What is a black hole?,A black hole is a region of space where gravity is so strong that nothing can escape.
Who painted 'Starry Night'?,'Starry Night' was painted by Vincent van Gogh.
What is the atomic number of oxygen?,The atomic number of oxygen is 8.
What is the SI unit of force?,The SI unit of force is the Newton (N).
Who discovered electricity?,Electricity was discovered by Benjamin Franklin.
What is the national animal of Australia?,The national animal of Australia is the kangaroo.
What is the speed of sound?,The speed of sound is approximately 343 meters per second.
Who discovered America?,Christopher Columbus discovered America.
What is the longest river in the world?,The longest river in the world is the Nile.
Who is the author of '1984'?,'1984' was written by George Orwell.
What is the capital of Canada?,The capital of Canada is Ottawa.
What is the function of the heart?,The function of the heart is to pump blood throughout the body.
